record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
4572,6407.0,6306.0,6259.0,5618.0,5813.0,4361.0,4314.0,2514.0,3356.0,2612.0,2280.0,91.0,148.0,147.0,156.0,67.0,151.0,139.0,116.0,98.0,2547.65
4573,6195.0,89.0,77.0,63.0,46.0,51.0,54.0,50.0,33.0,37.0,33.0,52.0,44.0,31.0,49.0,32.0,32.0,22.0,33.0,18.0,352.05
4574,2919.0,5814.0,104.0,110.0,5891.0,56.0,60.0,86.0,58.0,53.0,80.0,97.0,45.0,64.0,58.0,59.0,41.0,42.0,36.0,21.0,784.7
4575,5154.0,6148.0,6161.0,5456.0,6083.0,4141.0,4110.0,154.0,3077.0,100.0,100.0,123.0,90.0,93.0,80.0,99.0,71.0,69.0,58.0,58.0,2071.25
4576,4793.0,6192.0,6208.0,5516.0,6143.0,4236.0,4184.0,155.0,3176.0,103.0,106.0,122.0,93.0,91.0,83.0,97.0,68.0,71.0,61.0,55.0,2077.65
4577,6277.0,5734.0,139.0,5151.0,5756.0,79.0,71.0,71.0,67.0,48.0,44.0,67.0,64.0,53.0,56.0,36.0,27.0,30.0,22.0,28.0,1191.0
4578,4681.0,6061.0,6124.0,5311.0,5947.0,4072.0,4061.0,140.0,3109.0,101.0,104.0,118.0,92.0,89.0,82.0,96.0,65.0,70.0,62.0,57.0,2022.1
4579,6762.0,6684.0,60.0,5653.0,6290.0,86.0,72.0,26.0,31.0,33.0,38.0,33.0,30.0,20.0,19.0,22.0,11.0,13.0,10.0,10.0,1295.15
4580,4928.0,79.0,57.0,58.0,40.0,47.0,52.0,24.0,29.0,28.0,24.0,34.0,28.0,17.0,20.0,18.0,12.0,14.0,11.0,11.0,276.55
4581,63.0,44.0,29.0,24.0,23.0,19.0,21.0,16.0,16.0,16.0,16.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,7.0,7.0,18.4
average_simulation_TD,6285.7733333333335,5860.946666666667,5399.173333333333,5066.933333333333,5406.333333333333,3620.5866666666666,3506.68,2456.4533333333334,2822.6133333333332,2495.1466666666665,2558.12,2350.4933333333333,1898.5333333333333,1991.8666666666666,1650.3333333333333,1627.8666666666666,1387.0133333333333,1283.32,1188.52,561.36,
