,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_van_de_Schoot_2018_0_ratio_0.05.json,0.0,0.02702702702702703,0.13513513513513514,0.7027027027027027,0.918918918918919,0.012549537648612946,-0.10810810810810811,3032.7837837837837
1,metrics_sim_van_de_Schoot_2018_0_ratio_0.10.json,0.0,0.02702702702702703,0.1891891891891892,0.918918918918919,1.0,0.17789520035226772,-0.10810810810810811,2794.5135135135133
2,metrics_sim_van_de_Schoot_2018_0_ratio_0.15.json,0.08108108108108109,0.10810810810810811,0.10810810810810811,0.6486486486486487,1.0,0.11448701012769705,-0.02702702702702703,2961.189189189189
3,metrics_sim_van_de_Schoot_2018_0_ratio_0.20.json,0.6756756756756757,0.918918918918919,1.0,1.0,1.0,0.6329810656098634,0.5675675675675675,462.7837837837838
4,metrics_sim_van_de_Schoot_2018_0_ratio_0.25.json,0.8648648648648649,0.9459459459459459,1.0,1.0,1.0,0.6924262439453985,0.7567567567567568,357.8918918918919
5,metrics_sim_van_de_Schoot_2018_0_ratio_0.30.json,0.918918918918919,0.9459459459459459,1.0,1.0,1.0,0.7593571114046676,0.8108108108108109,287.13513513513516
6,metrics_sim_van_de_Schoot_2018_0_ratio_0.35.json,0.918918918918919,0.972972972972973,1.0,1.0,1.0,0.7800528401585205,0.8108108108108109,240.3783783783784
7,metrics_sim_van_de_Schoot_2018_0_ratio_0.40.json,0.918918918918919,0.972972972972973,1.0,1.0,1.0,0.8119771025979745,0.8108108108108109,215.56756756756758
8,metrics_sim_van_de_Schoot_2018_0_ratio_0.45.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8350946719506825,0.8378378378378378,186.1081081081081
9,metrics_sim_van_de_Schoot_2018_0_ratio_0.50.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8441215323645971,0.8378378378378378,166.7027027027027
10,metrics_sim_van_de_Schoot_2018_0_ratio_0.55.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8560105680317041,0.8378378378378378,156.05405405405406
11,metrics_sim_van_de_Schoot_2018_0_ratio_0.60.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8639365918097754,0.8378378378378378,151.32432432432432
12,metrics_sim_van_de_Schoot_2018_0_ratio_0.65.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8597534125935711,0.8378378378378378,170.35135135135135
13,metrics_sim_van_de_Schoot_2018_0_ratio_0.70.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8707617789520036,0.8378378378378378,129.59459459459458
14,metrics_sim_van_de_Schoot_2018_0_ratio_0.75.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8775869660942316,0.8378378378378378,135.24324324324326
15,metrics_sim_van_de_Schoot_2018_0_ratio_0.80.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8879348304711581,0.8378378378378378,118.97297297297297
16,metrics_sim_van_de_Schoot_2018_0_ratio_0.85.json,0.9459459459459459,1.0,1.0,1.0,1.0,0.8837516512549538,0.8378378378378378,120.97297297297297
17,metrics_sim_van_de_Schoot_2018_0_ratio_0.90.json,0.972972972972973,1.0,1.0,1.0,1.0,0.888595332452664,0.8648648648648649,113.43243243243244
18,metrics_sim_van_de_Schoot_2018_0_ratio_0.95.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8910171730515192,0.8648648648648649,102.78378378378379
19,metrics_sim_van_de_Schoot_2018_0_ratio_1.0.json,0.972972972972973,1.0,1.0,1.0,1.0,0.89740202553941,0.8648648648648649,91.02702702702703
