record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
3680,5.0,4964.0,1545.0,366.0,1416.0,2368.0,4180.0,4641.0,2452.0,3198.0,3769.0,879.0,4195.0,3042.0,87.0,299.0,4109.0,4855.0,1652.0,1620.0,2482.1
3769,553.0,3175.0,2380.0,709.0,506.0,4398.0,4114.0,1000.0,4415.0,3515.0,785.0,440.0,3711.0,4110.0,105.0,77.0,1019.0,3842.0,3706.0,1624.0,2209.2
3842,1944.0,26.0,4490.0,3221.0,293.0,5186.0,2221.0,937.0,535.0,1029.0,3981.0,1101.0,4376.0,628.0,4065.0,2169.0,4475.0,3405.0,1880.0,1683.0,2382.25
4154,1043.0,482.0,4927.0,2105.0,4972.0,3426.0,4416.0,1994.0,1729.0,1940.0,4531.0,166.0,1134.0,586.0,5036.0,562.0,474.0,2225.0,2758.0,1678.0,2309.2
4201,4577.0,261.0,4891.0,1198.0,3576.0,1960.0,197.0,656.0,2125.0,507.0,2146.0,4991.0,4120.0,1060.0,2841.0,2299.0,2890.0,3641.0,4740.0,1660.0,2516.8
4269,663.0,195.0,311.0,597.0,4198.0,2953.0,1975.0,1350.0,2337.0,3414.0,2872.0,429.0,2556.0,1216.0,1065.0,195.0,4880.0,3172.0,4375.0,1648.0,2020.05
4327,4561.0,3314.0,4291.0,4463.0,1943.0,3128.0,5201.0,1789.0,1133.0,1850.0,4920.0,4435.0,1268.0,4237.0,949.0,2487.0,125.0,2968.0,3498.0,1670.0,2911.5
4377,2625.0,5238.0,1576.0,2187.0,2634.0,2216.0,3030.0,3933.0,3548.0,4073.0,917.0,2514.0,636.0,2967.0,1709.0,1687.0,2936.0,1636.0,216.0,1688.0,2398.3
4461,3655.0,1343.0,1106.0,2103.0,3859.0,4516.0,4472.0,3136.0,1999.0,3229.0,3111.0,4860.0,4612.0,4154.0,4823.0,4534.0,3140.0,3184.0,3114.0,1615.0,3328.25
4548,3611.0,4060.0,5087.0,1072.0,2749.0,3769.0,647.0,2942.0,3025.0,4555.0,276.0,4923.0,3861.0,4839.0,2373.0,4569.0,337.0,2215.0,1869.0,146.0,2846.25
