record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
3608,6998.0,3418.0,563.0,6972.0,6820.0,9197.0,5477.0,2939.0,8070.0,768.0,951.0,1336.0,6769.0,7841.0,683.0,4858.0,1032.0,5364.0,2509.0,945.0,4175.5
3680,6320.0,756.0,9198.0,3049.0,4600.0,3707.0,6023.0,3685.0,8788.0,2600.0,3286.0,2712.0,6872.0,6942.0,8192.0,418.0,4578.0,1159.0,3853.0,1016.0,4387.7
3769,6.0,8600.0,8735.0,6209.0,7777.0,1570.0,6397.0,1232.0,7044.0,7050.0,2589.0,5679.0,1634.0,5798.0,826.0,1122.0,2092.0,4766.0,2737.0,999.0,4143.1
3842,6597.0,3709.0,5008.0,6118.0,829.0,3581.0,2339.0,2977.0,4058.0,6653.0,7778.0,5440.0,2852.0,2481.0,2172.0,1907.0,5951.0,4879.0,3759.0,991.0,4003.95
4154,9043.0,6773.0,2108.0,352.0,7200.0,1083.0,5387.0,4947.0,2559.0,5908.0,7448.0,4747.0,4755.0,7916.0,882.0,5725.0,2644.0,4829.0,1881.0,1026.0,4360.65
4201,4098.0,6789.0,3559.0,4161.0,3873.0,6743.0,79.0,6796.0,990.0,6903.0,8572.0,5608.0,8985.0,41.0,5293.0,6940.0,170.0,1293.0,5332.0,1055.0,4364.0
4269,7021.0,2834.0,8551.0,5373.0,6749.0,6621.0,1345.0,6440.0,4875.0,7866.0,3674.0,1983.0,7416.0,2114.0,6094.0,2141.0,2709.0,2469.0,1303.0,942.0,4426.0
4327,5703.0,4676.0,4383.0,6958.0,127.0,1681.0,7881.0,2993.0,8269.0,7437.0,4801.0,2258.0,1556.0,5681.0,729.0,3314.0,3037.0,6595.0,5612.0,993.0,4234.2
4377,4243.0,9008.0,8446.0,4682.0,8479.0,6410.0,4853.0,503.0,2846.0,2046.0,7938.0,5146.0,1984.0,4261.0,4457.0,7693.0,646.0,5454.0,4450.0,997.0,4727.1
4461,192.0,4476.0,4710.0,5036.0,861.0,1054.0,8958.0,5388.0,1358.0,899.0,380.0,2724.0,5673.0,2183.0,2282.0,1891.0,496.0,3836.0,421.0,1010.0,2691.4
4544,8300.0,8668.0,9434.0,6460.0,6103.0,8055.0,9119.0,2007.0,501.0,1959.0,8400.0,1567.0,4866.0,3146.0,960.0,3723.0,1332.0,518.0,195.0,56.0,4268.45
4545,8661.0,3541.0,3565.0,239.0,191.0,6449.0,1062.0,7270.0,8939.0,2113.0,8827.0,4594.0,1923.0,5386.0,1179.0,6259.0,2150.0,7372.0,1391.0,313.0,4071.2
