,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_brouwerschoot_0_ratio_0.05.json,0.08,0.2,0.5066666666666667,0.8133333333333334,0.9466666666666667,0.04433032907147349,-0.013333333333333334,4713.36
1,metrics_sim_brouwerschoot_0_ratio_0.10.json,0.09333333333333334,0.24,0.49333333333333335,0.7333333333333333,0.8933333333333333,0.007755187591699853,0.0,4823.8533333333335
2,metrics_sim_brouwerschoot_0_ratio_0.15.json,0.14666666666666667,0.29333333333333333,0.56,0.7866666666666666,0.88,-0.02389436176902117,0.05333333333333334,4414.786666666667
3,metrics_sim_brouwerschoot_0_ratio_0.20.json,0.09333333333333334,0.25333333333333335,0.5333333333333333,0.7866666666666666,0.92,0.013728778033955146,0.0,4638.666666666667
4,metrics_sim_brouwerschoot_0_ratio_0.25.json,0.16,0.28,0.5066666666666667,0.7866666666666666,0.9333333333333333,0.03825193879689792,0.06666666666666667,4475.213333333333
5,metrics_sim_brouwerschoot_0_ratio_0.30.json,0.10666666666666667,0.26666666666666666,0.5733333333333334,0.8133333333333334,0.8933333333333333,-0.006497589603856634,0.013333333333333334,4411.053333333333
6,metrics_sim_brouwerschoot_0_ratio_0.35.json,0.08,0.24,0.4666666666666667,0.76,0.88,-0.015615175015719974,-0.013333333333333334,4909.093333333333
7,metrics_sim_brouwerschoot_0_ratio_0.40.json,0.08,0.14666666666666667,0.41333333333333333,0.7466666666666667,0.88,0.0,-0.013333333333333334,5135.826666666667
8,metrics_sim_brouwerschoot_0_ratio_0.45.json,0.10666666666666667,0.29333333333333333,0.49333333333333335,0.7466666666666667,0.8666666666666667,-0.002305596311045902,0.013333333333333334,4769.08
9,metrics_sim_brouwerschoot_0_ratio_0.50.json,0.12,0.3333333333333333,0.5066666666666667,0.76,0.9066666666666666,-0.0012575979878432194,0.02666666666666667,4630.88
10,metrics_sim_brouwerschoot_0_ratio_0.55.json,0.16,0.24,0.48,0.72,0.92,0.014986376021798364,0.06666666666666667,4903.7733333333335
11,metrics_sim_brouwerschoot_0_ratio_0.60.json,0.10666666666666667,0.30666666666666664,0.56,0.7866666666666666,0.9333333333333333,0.03552714315657095,0.013333333333333334,4355.386666666666
12,metrics_sim_brouwerschoot_0_ratio_0.65.json,0.17333333333333334,0.36,0.52,0.76,0.9466666666666667,0.04045273527562356,0.08,4310.48
13,metrics_sim_brouwerschoot_0_ratio_0.70.json,0.18666666666666668,0.36,0.6,0.8533333333333334,0.9733333333333334,0.11045902326556277,0.09333333333333334,3817.8
14,metrics_sim_brouwerschoot_0_ratio_0.75.json,0.24,0.41333333333333333,0.64,0.8,0.9866666666666667,0.06623349402640956,0.14666666666666667,3799.213333333333
15,metrics_sim_brouwerschoot_0_ratio_0.80.json,0.28,0.38666666666666666,0.64,0.8533333333333334,0.9733333333333334,0.08027667155732551,0.18666666666666668,3652.04
16,metrics_sim_brouwerschoot_0_ratio_0.85.json,0.28,0.4666666666666667,0.68,0.8933333333333333,0.9866666666666667,0.1616013414378537,0.18666666666666668,3175.3866666666668
17,metrics_sim_brouwerschoot_0_ratio_0.90.json,0.36,0.48,0.72,0.96,1.0,0.20331167470132047,0.26666666666666666,2782.88
18,metrics_sim_brouwerschoot_0_ratio_0.95.json,0.44,0.5866666666666667,0.88,0.96,0.9866666666666667,0.381261789981136,0.3466666666666667,2107.4
19,metrics_sim_brouwerschoot_0_ratio_1.0.json,0.5466666666666666,1.0,1.0,1.0,1.0,0.8272898763361979,0.4533333333333333,561.36
